canonical_id,seed_key,extracted_image_file,source_image_ref,disk_relative_path,present
"MAT-003","mat-003","materials/MAT-003_01.jpg","xl/media/image21.jpg","materials/MAT-003_01.jpg","true"
"MAT-005","mat-005","materials/MAT-005_01.jpg","xl/media/image22.jpg","materials/MAT-005_01.jpg","true"
"MAT-008","mat-008","materials/MAT-008_01.jpg","xl/media/image8.jpg","materials/MAT-008_01.jpg","true"
"MAT-009","mat-009","materials/MAT-009_01.png","xl/media/image27.png","materials/MAT-009_01.png","true"
"MAT-010","mat-010","materials/MAT-010_01.jpg","xl/media/image32.jpg","materials/MAT-010_01.jpg","true"
"MAT-011","mat-011","materials/MAT-011_01.jpg","xl/media/image29.jpg","materials/MAT-011_01.jpg","true"
"MAT-012","mat-012","materials/MAT-012_01.jpg","xl/media/image11.jpg","materials/MAT-012_01.jpg","true"
"MAT-013","mat-013","materials/MAT-013_01.jpg","xl/media/image2.jpg","materials/MAT-013_01.jpg","true"
"MAT-014","mat-014","materials/MAT-014_01.jpg","xl/media/image20.jpg","materials/MAT-014_01.jpg","true"
"MAT-015","mat-015","materials/MAT-015_01.jpg","xl/media/image5.jpg","materials/MAT-015_01.jpg","true"
"MAT-016","mat-016","materials/MAT-016_01.jpg","xl/media/image34.jpg","materials/MAT-016_01.jpg","true"
"MAT-017","mat-017","materials/MAT-017_01.jpg","xl/media/image3.jpg","materials/MAT-017_01.jpg","true"
"MAT-018","mat-018","materials/MAT-018_01.jpg","xl/media/image26.jpg","materials/MAT-018_01.jpg","true"
"MAT-019","mat-019","materials/MAT-019_01.jpg","xl/media/image12.jpg","materials/MAT-019_01.jpg","true"
"MAT-020","mat-020","materials/MAT-020_01.jpg","xl/media/image7.jpg","materials/MAT-020_01.jpg","true"
"MAT-021","mat-021","materials/MAT-021_01.jpg","xl/media/image23.jpg","materials/MAT-021_01.jpg","true"
"MAT-022","mat-022","materials/MAT-022_01.jpg","xl/media/image1.jpg","materials/MAT-022_01.jpg","true"
"MAT-023","mat-023","materials/MAT-023_01.jpg","xl/media/image25.jpg","materials/MAT-023_01.jpg","true"
"MAT-024","mat-024","materials/MAT-024_01.png","xl/media/image30.png","materials/MAT-024_01.png","true"
"MAT-025","mat-025","materials/MAT-025_01.jpg","xl/media/image13.jpg","materials/MAT-025_01.jpg","true"
"MAT-026","mat-026","materials/MAT-026_01.jpg","xl/media/image4.jpg","materials/MAT-026_01.jpg","true"
"MAT-027","mat-027","materials/MAT-027_01.jpg","xl/media/image19.jpg","materials/MAT-027_01.jpg","true"
"MAT-028","mat-028","materials/MAT-028_01.jpg","xl/media/image15.jpg","materials/MAT-028_01.jpg","true"
"MAT-029","mat-029","materials/MAT-029_01.jpg","xl/media/image6.jpg","materials/MAT-029_01.jpg","true"
"MAT-030","mat-030","materials/MAT-030_01.jpg","xl/media/image9.jpg","materials/MAT-030_01.jpg","true"
"MAT-031","mat-031","materials/MAT-031_01.jpg","xl/media/image14.jpg","materials/MAT-031_01.jpg","true"
"MAT-032","mat-032","materials/MAT-032_01.jpg","xl/media/image17.jpg","materials/MAT-032_01.jpg","true"
"MAT-033","mat-033","materials/MAT-033_01.jpg","xl/media/image28.jpg","materials/MAT-033_01.jpg","true"
"MAT-035","mat-035","materials/MAT-035_01.png","xl/media/image6.png","materials/MAT-035_01.png","true"
"MAT-036","mat-036","materials/MAT-036_01.jpg","xl/media/image13.jpg; xl/media/image20.png","materials/MAT-036_01.jpg","true"
"MAT-036","mat-036","materials/MAT-036_02.png","xl/media/image13.jpg; xl/media/image20.png","materials/MAT-036_02.png","true"
"MAT-037","mat-037","materials/MAT-037_01.png","xl/media/image26.png","materials/MAT-037_01.png","true"
"MAT-038","mat-038","materials/MAT-038_01.jpg","xl/media/image10.jpg","materials/MAT-038_01.jpg","true"
"MAT-039","mat-039","materials/MAT-039_01.png","xl/media/image16.png","materials/MAT-039_01.png","true"
"MAT-040","mat-040","materials/MAT-040_01.png","xl/media/image4.png","materials/MAT-040_01.png","true"
"MAT-041","mat-041","materials/MAT-041_01.png","xl/media/image5.png","materials/MAT-041_01.png","true"
"MAT-042","mat-042","materials/MAT-042_01.png","xl/media/image8.png","materials/MAT-042_01.png","true"
"MAT-043","mat-043","materials/MAT-043_01.png","xl/media/image14.png; xl/media/image27.jpg","materials/MAT-043_01.png","true"
"MAT-043","mat-043","materials/MAT-043_02.jpg","xl/media/image14.png; xl/media/image27.jpg","materials/MAT-043_02.jpg","true"
"MAT-044","mat-044","materials/MAT-044_01.png","xl/media/image11.png","materials/MAT-044_01.png","true"
"MAT-045","mat-045","materials/MAT-045_01.png","xl/media/image15.png","materials/MAT-045_01.png","true"
"MAT-046","mat-046","materials/MAT-046_01.png","xl/media/image7.png","materials/MAT-046_01.png","true"
"MAT-047-A","mat-047-a","materials/MAT-047-A_01.png","xl/media/image12.png","materials/MAT-047-A_01.png","true"
"MAT-047-B","mat-047-b","materials/MAT-047-B_01.png","xl/media/image12.png","materials/MAT-047-B_01.png","true"
"MAT-048","mat-048","materials/MAT-048_01.png","xl/media/image2.png","materials/MAT-048_01.png","true"
"MAT-049","mat-049","materials/MAT-049_01.png","xl/media/image25.png","materials/MAT-049_01.png","true"
"MAT-061","mat-061","materials/MAT-061_01.jpg","xl/media/image16.jpg","materials/MAT-061_01.jpg","true"
"MAT-062","mat-062","materials/MAT-062_01.jpg","xl/media/image9.jpg","materials/MAT-062_01.jpg","true"
"MAT-063","mat-063","materials/MAT-063_01.png","xl/media/image6.png","materials/MAT-063_01.png","true"
"MAT-064","mat-064","materials/MAT-064_01.png","xl/media/image8.png","materials/MAT-064_01.png","true"
"MAT-065","mat-065","materials/MAT-065_01.jpg","xl/media/image2.jpg","materials/MAT-065_01.jpg","true"
"MAT-066","mat-066","materials/MAT-066_01.jpg","xl/media/image14.jpg","materials/MAT-066_01.jpg","true"
"MAT-067","mat-067","materials/MAT-067_01.jpg","xl/media/image13.jpg","materials/MAT-067_01.jpg","true"
"MAT-068","mat-068","materials/MAT-068_01.jpg","xl/media/image11.jpg","materials/MAT-068_01.jpg","true"
"MAT-069","mat-069","materials/MAT-069_01.png","xl/media/image7.png","materials/MAT-069_01.png","true"
"MAT-070","mat-070","materials/MAT-070_01.jpg","xl/media/image10.jpg","materials/MAT-070_01.jpg","true"
"MAT-071","mat-071","materials/MAT-071_01.png","xl/media/image15.png","materials/MAT-071_01.png","true"
"MAT-072","mat-072","materials/MAT-072_01.png","xl/media/image3.png","materials/MAT-072_01.png","true"
"MAT-073","mat-073","materials/MAT-073_01.png","xl/media/image4.png","materials/MAT-073_01.png","true"
"MAT-074","mat-074","materials/MAT-074_01.png","xl/media/image5.png","materials/MAT-074_01.png","true"
"MAT-075","mat-075","materials/MAT-075_01.png","xl/media/image12.png","materials/MAT-075_01.png","true"
"MAT-076","mat-076","materials/MAT-076_01.jpg","xl/media/image1.jpg","materials/MAT-076_01.jpg","true"
"MAT-078","mat-078","materials/MAT-078_01.png","xl/media/image9.png","materials/MAT-078_01.png","true"
"MAT-080","mat-080","materials/MAT-080_01.png","xl/media/image19.png","materials/MAT-080_01.png","true"
"MAT-081","mat-081","materials/MAT-081_01.png","xl/media/image5.png","materials/MAT-081_01.png","true"
"MAT-082","mat-082","materials/MAT-082_01.jpg","xl/media/image12.jpg","materials/MAT-082_01.jpg","true"
"MAT-083","mat-083","materials/MAT-083_01.png","xl/media/image24.png","materials/MAT-083_01.png","true"
"MAT-084","mat-084","materials/MAT-084_01.png","xl/media/image24.png","materials/MAT-084_01.png","true"
"MAT-085","mat-085","materials/MAT-085_01.png","xl/media/image14.png","materials/MAT-085_01.png","true"
"MAT-086","mat-086","materials/MAT-086_01.png","xl/media/image13.png","materials/MAT-086_01.png","true"
"MAT-087","mat-087","materials/MAT-087_01.png","xl/media/image18.png","materials/MAT-087_01.png","true"
"MAT-088","mat-088","materials/MAT-088_01.png","xl/media/image10.png","materials/MAT-088_01.png","true"
"MAT-089","mat-089","materials/MAT-089_01.png","xl/media/image8.png","materials/MAT-089_01.png","true"
"MAT-090","mat-090","materials/MAT-090_01.png","xl/media/image17.png","materials/MAT-090_01.png","true"
"MAT-091","mat-091","materials/MAT-091_01.png","xl/media/image6.png","materials/MAT-091_01.png","true"
"MAT-092","mat-092","materials/MAT-092_01.png","xl/media/image7.png","materials/MAT-092_01.png","true"
"MAT-093","mat-093","materials/MAT-093_01.png","xl/media/image3.png","materials/MAT-093_01.png","true"
"MAT-094","mat-094","materials/MAT-094_01.png","xl/media/image21.png","materials/MAT-094_01.png","true"
"MAT-095","mat-095","materials/MAT-095_01.png","xl/media/image1.png","materials/MAT-095_01.png","true"
"MAT-096","mat-096","materials/MAT-096_01.png","xl/media/image16.png","materials/MAT-096_01.png","true"
"MAT-097","mat-097","materials/MAT-097_01.png","xl/media/image25.png","materials/MAT-097_01.png","true"
"MAT-098","mat-098","materials/MAT-098_01.png","xl/media/image20.png","materials/MAT-098_01.png","true"
"MAT-099","mat-099","materials/MAT-099_01.png","xl/media/image2.png","materials/MAT-099_01.png","true"
"MAT-100","mat-100","materials/MAT-100_01.png","xl/media/image23.png","materials/MAT-100_01.png","true"
"MAT-101","mat-101","materials/MAT-101_01.png","xl/media/image15.png","materials/MAT-101_01.png","true"
"MAT-102","mat-102","materials/MAT-102_01.png","xl/media/image22.png","materials/MAT-102_01.png","true"
"MAT-103","mat-103","materials/MAT-103_01.png","xl/media/image4.png","materials/MAT-103_01.png","true"
"MAT-104","mat-104","materials/MAT-104_01.png","xl/media/image12.png","materials/MAT-104_01.png","true"
"MAT-105","mat-105","materials/MAT-105_01.png","xl/media/image9.png","materials/MAT-105_01.png","true"
"MAT-106","mat-106","materials/MAT-106_01.png","xl/media/image5.png","materials/MAT-106_01.png","true"
"MAT-107","mat-107","materials/MAT-107_01.png","xl/media/image6.png","materials/MAT-107_01.png","true"
"MAT-108","mat-108","materials/MAT-108_01.png","xl/media/image15.png","materials/MAT-108_01.png","true"
"MAT-109","mat-109","materials/MAT-109_01.png","xl/media/image3.png","materials/MAT-109_01.png","true"
"MAT-110","mat-110","materials/MAT-110_01.png","xl/media/image8.png","materials/MAT-110_01.png","true"
"MAT-111","mat-111","materials/MAT-111_01.png","xl/media/image7.png","materials/MAT-111_01.png","true"
"MAT-112","mat-112","materials/MAT-112_01.png","xl/media/image1.png","materials/MAT-112_01.png","true"
"MAT-113","mat-113","materials/MAT-113_01.png","xl/media/image14.png","materials/MAT-113_01.png","true"
"MAT-114","mat-114","materials/MAT-114_01.png","xl/media/image10.png","materials/MAT-114_01.png","true"
"MAT-115","mat-115","materials/MAT-115_01.png","xl/media/image13.png","materials/MAT-115_01.png","true"
"MAT-116","mat-116","materials/MAT-116_01.png","xl/media/image2.png","materials/MAT-116_01.png","true"
"MAT-117","mat-117","materials/MAT-117_01.png","xl/media/image11.png","materials/MAT-117_01.png","true"
"MAT-118","mat-118","materials/MAT-118_01.png","xl/media/image4.png","materials/MAT-118_01.png","true"
